letter	frequency
 
04-0.1	0.603833865815
04-0.2	0.130990415335
04-0.3	0.073482428115
04-0.4	0.115015974441
04-0.5	0.0511182108626
04-0.6	0.0223642172524
04-0.7	0
04-0.8	0.00319488817891
04-0.9	0
04-1.0	0
   	0
06-0.1	0.589576547231
06-0.2	0.127035830619
06-0.3	0.0814332247557
06-0.4	0.0912052117264
06-0.5	0.0684039087948
06-0.6	0.0228013029316
06-0.7	0.0130293159609
06-0.8	0.00325732899023
06-0.9	0.00325732899023
06-1.0	0
       	0
08-0.1	0.527156549521
08-0.2	0.127795527157
08-0.3	0.105431309904
08-0.4	0.0798722044728
08-0.5	0.0862619808307
08-0.6	0.0479233226837
08-0.7	0.0159744408946
08-0.8	0.00958466453674
08-0.9	0
08-1.0	0
    	0
10-0.1	0.493573264781
10-0.2	0.141388174807
10-0.3	0.0925449871465
10-0.4	0.0822622107969
10-0.5	0.0719794344473
10-0.6	0.0642673521851
10-0.7	0.0334190231362
10-0.8	0.012853470437
10-0.9	0.00771208226221
10-0.0	0
      	0
12-0.1	0.571428571429
12-0.2	0.125714285714
12-0.3	0.0885714285714
12-0.4	0.111428571429
12-0.5	0.0514285714286
12-0.6	0.04
12-0.7	0.00857142857143
12-0.8	0.00285714285714
12-0.9	0
12-1.0	0
    	0
             	0